Participant,What types of AOS data do you work with?
25,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
25,Tabular data
26,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
27,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
27,Tabular data
28,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
28,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
28,Tabular data
29,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
29,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
29,Tabular data
30,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
30,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
30,Tabular data
31,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
32,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
32,Tabular data
33,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
34,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
34,Tabular data
35,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
35,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
36,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
36,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
36,Tabular data
37,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
37,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
37,Tabular data
38,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
38,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
38,Tabular data
39,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
39,Tabular data
40,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
40,Tabular data
41,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
41,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
41,Tabular data
42,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
42,Tabular data
43,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
43,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
43,Tabular data
44,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
44,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
44,Tabular data
45,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
45,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
45,Tabular data
46,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
46,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
46,Tabular data
47,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
47,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
47,Tabular data
48,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
48,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
49,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
49,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
49,Tabular data
50,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
50,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
50,Tabular data
51,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
52,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
52,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
52,Tabular data
53,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
53,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
53,Tabular data
54,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
54,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
54,Tabular data
55,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
55,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
55,Tabular data
56,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
56,Tabular data
57,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
58,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
59,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
60,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
61,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
61,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
61,Tabular data
62,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
63,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
64,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
66,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
66,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
67,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
68,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
68,Tabular data
69,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
70,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
70,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
70,Tabular data
71,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
71,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
71,Tabular data
72,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
73,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
74,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
75,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
75,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
75,Tabular data
76,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
76,Tabular data
77,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
77,Tabular data
78,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
79,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
79,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
79,Tabular data
80,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
80,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
82,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
82,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
82,Tabular data
83,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
84,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
84,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
84,Tabular data
85,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
85,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
85,Tabular data
86,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
87,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
87,Tabular data
88,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
89,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
90,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
90,Tabular data
91,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
91,Tabular data
92,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
92,Tabular data
93,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
93,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
93,Tabular data
94,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
94,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
94,Tabular data
95,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
96,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
97,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
98,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
99,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
99,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
99,Tabular data
100,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
100,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
100,Tabular data
101,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
101,Tabular data
102,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
102,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
102,Tabular data
103,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
103,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
103,Tabular data
104,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
104,Tabular data
105,Tabular data
106,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
106,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
107,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
107,Tabular data
108,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
108,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
109,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
109,Tabular data
110,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
110,Tabular data
111,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
111,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
111,Tabular data
112,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
112,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
112,Tabular data
113,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
114,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
115,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
116,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
116,Tabular data
117,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
117,Tabular data
118,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
119,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
119,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
120,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
120,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
120,Tabular data
121,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
121,Tabular data
122,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
122,Tabular data
123,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
123,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
123,Tabular data
124,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
125,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
125,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
125,Tabular data
126,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
126,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
126,Tabular data
127,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
127,Tabular data
128,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
128,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
128,Tabular data
129,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
130,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
130,Tabular data
131,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
131,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
132,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
132,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
133,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
133,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
134,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
134,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
135,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
136,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
136,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
137,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
137,Tabular data
139,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
139,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
140,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
141,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
141,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
142,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
142,Tabular data
143,Raster data (i.e. multi-dimensional gridded data such as a regular time/latitude/longitude/depth grid)
143,"Vector data (i.e. discrete geometric locations that define the shape of a spatial point, line or polygon)"
143,Tabular data
